xf=0, xe=2, yf=0, ye=0
xf=3, xe=5, yf=3, ye=3
xf=6, xe=8, yf=6, ye=6
xf=0, xe=2, yf=3, ye=3
xf=0, xe=2, yf=6, ye=6
xf=3, xe=5, yf=0, ye=0
xf=3, xe=5, yf=6, ye=6
xf=6, xe=8, yf=0, ye=0
xf=6, xe=8, yf=3, ye=3
xf=0, xe=2, yf=0, ye=0
xf=3, xe=5, yf=3, ye=3
xf=6, xe=8, yf=6, ye=6
xf=0, xe=2, yf=3, ye=3
xf=0, xe=2, yf=6, ye=6
xf=3, xe=5, yf=0, ye=0
xf=3, xe=5, yf=6, ye=6
xf=6, xe=8, yf=0, ye=0
xf=6, xe=8, yf=3, ye=3
xf=0, xe=2, yf=0, ye=0
xf=3, xe=5, yf=3, ye=3
xf=6, xe=8, yf=6, ye=6
xf=0, xe=2, yf=3, ye=3
xf=0, xe=2, yf=6, ye=6
xf=3, xe=5, yf=0, ye=0
xf=3, xe=5, yf=6, ye=6
xf=6, xe=8, yf=0, ye=0
xf=6, xe=8, yf=3, ye=3
xf=0, xe=2, yf=0, ye=0
xf=3, xe=5, yf=3, ye=3
xf=6, xe=8, yf=6, ye=6
xf=0, xe=2, yf=3, ye=3
xf=0, xe=2, yf=6, ye=6
xf=3, xe=5, yf=0, ye=0
xf=3, xe=5, yf=6, ye=6
xf=6, xe=8, yf=0, ye=0
xf=6, xe=8, yf=3, ye=3
xf=0, xe=2, yf=0, ye=2
xf=3, xe=5, yf=3, ye=5
xf=6, xe=8, yf=6, ye=8
xf=0, xe=2, yf=3, ye=5
xf=0, xe=2, yf=6, ye=8
xf=3, xe=5, yf=0, ye=2
xf=3, xe=5, yf=6, ye=8
xf=6, xe=8, yf=0, ye=2
xf=6, xe=8, yf=3, ye=5
xf=0, xe=2, yf=0, ye=2
xf=3, xe=5, yf=3, ye=5
xf=6, xe=8, yf=6, ye=8
xf=0, xe=2, yf=3, ye=5
xf=0, xe=2, yf=6, ye=8
xf=3, xe=5, yf=0, ye=2
xf=3, xe=5, yf=6, ye=8
xf=6, xe=8, yf=0, ye=2
xf=6, xe=8, yf=3, ye=5
xf=0, xe=2, yf=0, ye=2
xf=3, xe=5, yf=3, ye=5
xf=6, xe=8, yf=6, ye=8
xf=0, xe=2, yf=3, ye=5
xf=0, xe=2, yf=0, ye=2
xf=0, xe=2, yf=0, ye=2
xf=0, xe=2, yf=0, ye=2
xf=0, xe=2, yf=0, ye=2
xf=0, xe=2, yf=0, ye=2
xf=0, xe=2, yf=0, ye=2
xf=0, xe=2, yf=0, ye=2
xf=0, xe=2, yf=0, ye=2
xf=0, xe=2, yf=0, ye=2
xf=3, xe=5, yf=3, ye=5
xf=6, xe=8, yf=6, ye=8
xf=0, xe=2, yf=3, ye=5
xf=0, xe=2, yf=6, ye=8
xf=3, xe=5, yf=0, ye=2
xf=3, xe=5, yf=6, ye=8
xf=6, xe=8, yf=0, ye=2
xf=6, xe=8, yf=3, ye=5
xf=0, xe=2, yf=0, ye=2
xf=0, xe=2, yf=0, ye=2
xf=3, xe=5, yf=3, ye=5
xf=6, xe=8, yf=6, ye=8
xf=0, xe=2, yf=3, ye=5
xf=0, xe=2, yf=6, ye=8
xf=3, xe=5, yf=0, ye=2
xf=3, xe=5, yf=6, ye=8
xf=6, xe=8, yf=0, ye=2
xf=6, xe=8, yf=3, ye=5
xf=0, xe=2, yf=3, ye=5
xf=0, xe=2, yf=3, ye=5
xf=0, xe=2, yf=6, ye=8
xf=3, xe=5, yf=0, ye=2
xf=3, xe=5, yf=6, ye=8
xf=6, xe=8, yf=0, ye=2
xf=6, xe=8, yf=3, ye=5
xf=0, xe=2, yf=3, ye=5
xf=0, xe=2, yf=6, ye=8
xf=3, xe=5, yf=0, ye=2
xf=0, xe=2, yf=3, ye=5
xf=0, xe=2, yf=6, ye=8
xf=3, xe=5, yf=0, ye=2
xf=3, xe=5, yf=6, ye=8
xf=6, xe=8, yf=0, ye=2
xf=6, xe=8, yf=3, ye=5
xf=0, xe=2, yf=3, ye=5
